Year,Age,mean,median,q025,q975,q250,q750
1988,6,0.04318860859,0.042529700000000004,0.008590202369430635,0.15145311047850585,0.023282955019016043,0.06432355879453452
1989,6,0.10378280598,0.102502,0.02134112086418874,0.314755648166475,0.05751669166138099,0.14723660598485377
1990,6,0.4605767598,0.4605105,0.15359519450246306,0.7530966977788105,0.3158574302074035,0.5471625214123776
1991,6,0.14059016081,0.1395435,0.032967410207481146,0.36456127730062393,0.07925832183938011,0.18504612713260316
1992,6,0.02794103465,0.02739035,0.005463870335467742,0.10546687110086743,0.014830844841815924,0.041776112803986354
1993,6,0.06298253762,0.062070650000000005,0.012299220358883194,0.21330371004583337,0.03365550108041128,0.09202778490475967
1994,6,0.5086760789,0.5093255,0.18012063774867518,0.7846650151013429,0.35823663461601174,0.591064671457481
1995,6,0.1222423174,0.12109249999999999,0.027254365075382172,0.33169905530376986,0.06785424536136422,0.16290912130479618
1996,6,0.05464364444,0.053940699999999994,0.011745106234669752,0.1748915829384663,0.02916380045191675,0.0752113205340163
1997,6,0.06020107202,0.059238799999999994,0.01277016808532728,0.18949259920881917,0.03272979989564831,0.0825097884020072
1998,6,0.11921517655,0.118002,0.025803459306197672,0.3367607035747652,0.06761052603375482,0.16529652928592867
1999,6,0.09524766417,0.0939634,0.020238015329787366,0.2940102620739691,0.05300176875342677,0.13449655564389756
2000,6,0.2271843579,0.226335,0.05328128901127568,0.5163291660673336,0.13205437256078498,0.29657822509539233
2001,6,0.2400274785,0.2390485,0.059703554929722534,0.5370172748574447,0.14333570809935708,0.3091453000492187
2002,6,0.07876846141,0.07783280000000001,0.016910702816816697,0.23507355801096083,0.04297145885758094,0.10886263781235724
2003,6,0.13837416661,0.137236,0.031030117566510196,0.3636868321084612,0.07833897218699874,0.18581088213780592
2004,6,0.13679260411,0.13579249999999998,0.030534259954814475,0.37585470237624047,0.07819544053622485,0.1869453015889535
2005,6,0.12734881636,0.12572250000000001,0.027714388308403944,0.36583369596809795,0.07109050330171178,0.17438742551048564
2006,6,0.3195400042,0.319191,0.08883745258797852,0.6227574297873328,0.20079337781445183,0.4009659183786989
2007,6,0.08030989709,0.07927095,0.017224652931884327,0.23724619341495687,0.04319175753719265,0.10875153755292762
2008,6,0.11533951729,0.11388499999999999,0.025219994272999563,0.32241233846130646,0.063852500327028,0.15816564697776542
2009,6,0.12144666443,0.120241,0.027145771043530793,0.330733784627742,0.06759316902632495,0.16377361830835227
2010,6,0.15580173782,0.154309,0.035097277197930724,0.4014472893160015,0.08796449008844613,0.20827550575238774
2011,6,0.18878555851,0.187109,0.04621843405823918,0.4611135054198925,0.11095747588343724,0.25119954685972995
2012,6,0.19078548562,0.189373,0.047166438638810954,0.4561977111354747,0.11035445965994044,0.2513858625557164
2013,6,0.2258495757,0.22480050000000001,0.05803342895089366,0.5154781507489121,0.1342960148710492,0.2887845675221915
2014,6,0.11039032723,0.109409,0.024135703113277045,0.3097868341600152,0.06170460137981465,0.150381508737103
2015,6,0.0890504871,0.0878715,0.0196659124931153,0.25835254602304336,0.048522078321165396,0.1197556939684707
2016,6,0.11275185023,0.1115865,0.022364385745791814,0.3544023121885,0.06334138378269068,0.16809750824687825
2017,6,0.02885875812,0.02822495,0.005981789567933572,0.10012612118792379,0.015314849534109717,0.04151392669451872
2018,6,0.20230224458,0.20079200000000003,0.04725684627677927,0.49653057542058043,0.11729246842557357,0.2741505483548246
1980,7,0.0013424925599637262,6.254715e-4,1.0532065311642139e-7,0.010695755925079209,5.973738479473544e-5,0.001788698990769834
1981,7,0.008490975478,0.00806962,0.0012864009928039977,0.035668700251601675,0.004045630284934042,0.01283162032450225
1982,7,0.06459759515,0.0628212,0.012643620875905853,0.21322188822031443,0.03361598528076038,0.0911401187274882
1983,7,0.2512859599,0.2501015,0.06593447120022239,0.5464260744145807,0.15422651340445098,0.32542033844029905
1984,7,0.06490623996,0.06395425,0.012374817942434642,0.21794487800435763,0.035664916797810094,0.09335634360057024
1985,7,0.017779529817,0.01735115,0.0035207974294890055,0.06427520815971859,0.009363492150196046,0.025216002454186794
1986,7,0.05578127058,0.05501685,0.011984382874476122,0.17741458563077825,0.030022361946076274,0.07673125299218723
1987,7,0.14537694515,0.144479,0.03555850598190602,0.37707952656231236,0.08352398092668953,0.19625868042967223
1988,7,0.0542164244,0.0534435,0.010700770970510521,0.18687480368051596,0.02931844404402651,0.07946169414411677
1989,7,0.02798328737,0.0275119,0.005654479474948865,0.1001019849863001,0.015030750388810278,0.04029899034201098
1990,7,0.08471794006,0.08357865,0.018101794666026787,0.2620172625475497,0.046898717140613694,0.11652923075773429
1991,7,0.2792270205,0.278477,0.07585390227240886,0.5721641049823221,0.170799688662593,0.3494545452433316
1992,7,0.04900774234,0.0482786,0.009552888142252572,0.17577950392236863,0.026901456663221572,0.07420089637709357
1993,7,0.019144977285,0.0187689,0.0037901805063129705,0.07287660170760978,0.010043550297789978,0.027996928480444164
1994,7,0.05131534419,0.05063575,0.010733220339127743,0.1696790193139091,0.027678860713095207,0.071993463589836
1995,7,0.3585753393,0.3583175,0.10444344213576195,0.6536689198125499,0.22955256700855042,0.43719358793612084
1996,7,0.05882099814,0.05803305,0.012296781116522739,0.18476731599481835,0.032074701408797174,0.08311535957442501
1997,7,0.02590516284,0.0254727,0.00538407971535362,0.08313302908269474,0.013816585763642013,0.03589772669367359
1998,7,0.02437452031,0.0239014,0.0049184207869596985,0.08312075875723868,0.01274092099318434,0.034649502890440234
1999,7,0.05850880879,0.05774865,0.012475783645493671,0.19836362877317093,0.03221627960939848,0.08420129464847513
